X,Y,Z,DENS,E,NU
4.1215,-93.637,-966.473,120.242,455276,N/A
5.6079,-90.5021,-970.489,-276.499,-nan(ind),N/A
-7.41453,-62.0732,-966.156,-276.499,-nan(ind),N/A
4.61482,-81.5498,-978.487,-276.499,-nan(ind),N/A
-7.53085,-65.2767,-981.266,610.534,2.50733e+06,N/A
14.8926,-93.8905,-991.404,610.534,2.50733e+06,N/A
-10.5409,-83.2302,-981.084,56.4218,205701,N/A
-1.88672,-85.4295,-977.232,-276.499,-nan(ind),N/A
-20.7014,-82.4663,-985.871,610.534,2.50733e+06,N/A
9.09812,-82.138,-988.923,610.534,2.50733e+06,N/A
20.6853,-74.78,-975.269,-276.499,-nan(ind),N/A
-14.5812,-70.0695,-971.984,-276.499,-nan(ind),N/A
-10.988,-70.622,-979.874,-276.499,-nan(ind),N/A
-21.3537,-70.7612,-984.51,-276.499,-nan(ind),N/A
4.18452,-67.7261,-985.672,610.534,2.50733e+06,N/A
-19.5099,-86.8144,-986.847,610.534,2.50733e+06,N/A
7.61573,-84.6244,-970.555,-276.499,-nan(ind),N/A
6.86792,-80.2074,-984.9,120.242,455276,N/A
13.8902,-92.2065,-994.258,610.534,2.50733e+06,N/A
-10.34,-80.6828,-974.121,-276.499,-nan(ind),N/A
-7.1961,-60.7644,-971.503,120.242,455276,N/A
1.97873,-73.7378,-979.21,-276.499,-nan(ind),N/A
12.2445,-87.9218,-973.581,-276.499,-nan(ind),N/A
-1.21877,-95.879,-964.625,610.534,2.50733e+06,N/A
-8.91147,-84.927,-975.826,-276.499,-nan(ind),N/A
7.64393,-84.7067,-972.246,-276.499,-nan(ind),N/A
19.0423,-66.4924,-970.05,120.242,455276,N/A
3.69183,-83.5663,-972.839,-276.499,-nan(ind),N/A
7.6881,-67.99,-969.539,120.242,455276,N/A
3.48963,-83.8727,-985.191,120.242,455276,N/A
-15.5269,-60.5196,-988.417,610.534,2.50733e+06,N/A
-12.4751,-79.2817,-973.782,-276.499,-nan(ind),N/A
4.23027,-82.9585,-968.83,-276.499,-nan(ind),N/A
2.29707,-86.7415,-968.357,-276.499,-nan(ind),N/A
2.40302,-87.4076,-974.498,-276.499,-nan(ind),N/A
3.82105,-79.004,-971.334,-276.499,-nan(ind),N/A
14.9308,-90.2297,-967.091,-276.499,-nan(ind),N/A
-3.9646,-68.699,-990.455,610.534,2.50733e+06,N/A
0.741625,-87.7931,-970.106,-276.499,-nan(ind),N/A
10.5121,-66.5466,-990.329,610.534,2.50733e+06,N/A
9.2637,-88.1177,-983.787,120.242,455276,N/A
-21.185,-90.0035,-988.557,610.534,2.50733e+06,N/A
7.16855,-84.1826,-983.608,120.242,455276,N/A
11.7204,-89.2851,-976.688,-276.499,-nan(ind),N/A
6.59103,-66.6532,-972.415,25.368,88862.2,N/A
16.5486,-73.0641,-990.784,610.534,2.50733e+06,N/A
7.6713,-76.2032,-979.252,610.534,2.50733e+06,N/A
-3.61908,-77.1268,-968.387,-276.499,-nan(ind),N/A
-7.1648,-76.567,-972.056,-276.499,-nan(ind),N/A
-22.5785,-64.6431,-986.916,610.534,2.50733e+06,N/A
5.51928,-68.7418,-978.203,120.242,455276,N/A
-20.8432,-85.3427,-976.085,56.4218,205701,N/A
-13.7698,-72.2336,-967.833,120.242,455276,N/A
-5.6462,-80.0449,-977.77,-276.499,-nan(ind),N/A
-2.5538,-84.9836,-976.416,-276.499,-nan(ind),N/A
11.0337,-79.5926,-971.211,-276.499,-nan(ind),N/A
-10.2931,-67.9528,-983.426,610.534,2.50733e+06,N/A
13.6028,-69.1911,-973.487,69.7839,257134,N/A
12.0118,-67.0532,-973.869,610.534,2.50733e+06,N/A
-19.1594,-75.462,-964.43,610.534,2.50733e+06,N/A
-20.1424,-84.4384,-963.734,610.534,2.50733e+06,N/A
1.35613,-81.9674,-979.86,-276.499,-nan(ind),N/A
-1.13258,-75.0817,-964.253,610.534,2.50733e+06,N/A
-3.83942,-66.1816,-987.356,610.534,2.50733e+06,N/A
